"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA0106202201A0120575","경성문화사","","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000107350000","1","대지",735,,"세종특별자치시 세종특별자치시 어진동 735","361103258079","세종특별자치시 세종특별자치시 다솜3로",66,,"3611011000101780103000001","","세종특별자치시 세종특별자치시 다솜3로 66","339012","30107","","","",127.269952197727,36.5010961332007
"MA0106202201A0109296","교통안전공단세종자동차검사소","","S2","수리·개인","S203","자동차 수리·세차","S20302","자동차 세차장","S95213","자동차 세차업","36","세종특별자치시","36110","세종특별자치시","36110570","대평동","3611010400","대평동","3611010400106490000","1","대지",649,,"세종특별자치시 세종특별자치시 대평동 649","361104863470","세종특별자치시 세종특별자치시 종합운동장4로",1,,"3611010400105830002000001","","세종특별자치시 세종특별자치시 종합운동장4로 1","339005","30154","","","",127.267157952284,36.4674982497069
"MA0106202201A2054351","푸디스트세종충남대","병원점","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110520","도담동","3611011400","도담동","3611011400104070000","1","대지",407,,"세종특별자치시 세종특별자치시 도담동 407","361103258117","세종특별자치시 세종특별자치시 보듬7로",20,,"3611011400104070000000001","","세종특별자치시 세종특별자치시 보듬7로 20","339006","30099","","","",127.257947245099,36.5195152466461
"MA0106202201A0563454","이마트노브랜드세종","소담점","G2","소매","G204","종합 소매","G20404","슈퍼마켓","G47121","슈퍼마켓","36","세종특별자치시","36110","세종특별자치시","36110555","소담동","3611010200","소담동","3611010200105800000","1","대지",580,,"세종특별자치시 세종특별자치시 소담동 580","361103350793","세종특별자치시 세종특별자치시 소담1로",16,,"3611010200100090169000001","","세종특별자치시 세종특별자치시 소담1로 16","339010","30150","","","",127.30109699106,36.484566493603
"MA0106202201A0915494","세종서부농협","","G2","소매","G205","식료품 소매","G20502","가축 사료 소매업","G47211","곡물; 곡분 및 가축 사료 소매업","36","세종특별자치시","36110","세종특별자치시","36110350","장군면","3611035021","장군면","3611035021101620005","1","대지",162,5,"세종특별자치시 세종특별자치시 장군면 도계리 162-5","361103251037","세종특별자치시 세종특별자치시 장군면 장척로",418,,"4415035021101620005018186","","세종특별자치시 세종특별자치시 장군면 장척로 418","339913","30053","","","",127.206733274454,36.4977890219057
"MA0106202201A0625378","정부세종청사5동해양수산부카페","","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000105560000","1","대지",556,,"세종특별자치시 세종특별자치시 어진동 556","361103258078","세종특별자치시 세종특별자치시 다솜2로",94,,"3611011000100430000000001","","세종특별자치시 세종특별자치시 다솜2로 94","339012","30110","","","",127.26501947194,36.5046216970347
"MA0106202201A0915684","솔마루카페","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110510","한솔동","3611010600","한솔동","3611010600109610000","1","대지",961,,"세종특별자치시 세종특별자치시 한솔동 961","361103258056","세종특별자치시 세종특별자치시 나리로",57,26,"3611010600109610000000001","","세종특별자치시 세종특별자치시 나리로 57-26","339014","30130","","","",127.255844048802,36.4775078898556
"MA0106202201A0604580","위비스지센","조치원점","G2","소매","G213","오락용품 소매","G21304","운동용품 소매업","G47631","운동 및 경기용품 소매업","36","세종특별자치시","36110","세종특별자치시","36110360","연서면","3611036021","연서면","3611036021106650015","1","대지",665,15,"세종특별자치시 세종특별자치시 연서면 월하리 665-15","361103000189","세종특별자치시 세종특별자치시 연서면 세종로",2130,,"4473032021106650015027444","","세종특별자치시 세종특별자치시 연서면 세종로 2130","339815","30049","","","",127.292619023649,36.5773339580131
"MA0106202201A0010246","SK에너지가람셀프주유소","","G2","소매","G214","연료 소매","G21401","주유소","G47711","운송장비용 주유소 운영업","36","세종특별자치시","36110","세종특별자치시","36110510","한솔동","3611010500","가람동","3611010500109680000","1","대지",968,,"세종특별자치시 세종특별자치시 가람동 968","361103258061","세종특별자치시 세종특별자치시 금송로",589,,"3611010500109680000000001","","세종특별자치시 세종특별자치시 금송로 589","339001","30065","","","",127.244344026258,36.4647084805486
"MA0106202201A0975966","정관장LOUNGE다정","본점","G2","소매","G205","식료품 소매","G20508","건강보조식품 소매업","G47217","건강 보조식품 소매업","36","세종특별자치시","36110","세종특별자치시","36110580","다정동","3611010900","다정동","3611010900109450000","1","대지",945,,"세종특별자치시 세종특별자치시 다정동 945","361103351284","세종특별자치시 세종특별자치시 다정중앙로",57,,"3611010900100060005000001","","세종특별자치시 세종특별자치시 다정중앙로 57","339004","30124","","","",127.24850378651,36.4956276615095
"MA0106202201A2054455","푸디스트국립세종수목원직원식당점","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110518","나성동","3611011900","세종동","3611011900109040000","1","대지",904,,"세종특별자치시 세종특별자치시 세종동 904","361103352712","세종특별자치시 세종특별자치시 수목원로",212,24,"3611031025109040000000001","","세종특별자치시 세종특별자치시 수목원로 212-24","339003","30106","","","",127.291384358794,36.4954675635267
"MA0106202201A0625449","풀무원푸드앤컬처정부세종청사국세청","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110518","나성동","3611010700","나성동","3611010700107700000","1","대지",770,,"세종특별자치시 세종특별자치시 나성동 770","361103351261","세종특별자치시 세종특별자치시 국세청로",8,14,"3611010700104570000000001","","세종특별자치시 세종특별자치시 국세청로 8-14","339003","30128","","","",127.260299314662,36.4850769969355
